case_id,previous_node,actual_node,time_stamp,product_id,time
221,-1,11,221,64,221
222,-1,8,222,65,221
223,19,14,223,35,223
224,6,17,224,48,224
225,15,3,225,23,225
226,0,6,226,52,225
227,-1,0,227,66,226
228,5,15,228,37,227
229,13,19,229,44,228
230,11,13,230,61,228
231,-1,11,231,67,229
232,8,5,232,55,229
233,1,2,233,43,230
234,16,1,234,46,230
235,-1,8,235,68,230
236,-1,16,236,69,231
237,7,-1,237,32,232
238,11,13,238,63,233
239,4,-1,239,31,234
240,-1,11,240,70,234
241,18,4,241,34,236
242,19,18,242,42,237
243,15,14,243,47,238
244,6,15,244,50,238
245,9,7,245,5,239
246,2,9,246,26,240
247,7,-1,247,39,241
248,4,-1,248,41,242
249,11,6,249,64,242
250,5,19,250,56,243
251,1,2,251,51,243
252,-1,11,252,71,243
253,18,4,253,42,246
254,3,7,254,22,247
255,6,15,255,58,247
256,19,18,256,44,249
257,7,-1,257,20,250
258,0,1,258,54,250
259,2,3,259,40,251
260,8,5,260,60,251
261,-1,0,261,72,251
262,-1,8,262,73,252
263,16,6,263,53,253
264,-1,16,264,74,254
265,18,7,265,44,256
266,13,19,266,59,256
267,4,-1,267,12,258
268,17,18,268,36,258
269,6,17,269,52,258
270,5,2,270,49,258
271,7,-1,271,5,259
272,11,5,272,67,260
273,19,18,273,56,261
274,-1,11,274,75,261
275,0,6,275,57,263
276,-1,0,276,76,264
277,9,4,277,3,265
278,3,7,278,23,265
279,13,19,279,61,266
280,8,13,280,65,266
281,2,3,281,43,267
282,6,2,282,64,267
283,11,6,283,70,267
284,-1,8,284,77,267
285,-1,11,285,78,268
286,4,-1,286,34,271
287,17,9,287,48,271
288,11,13,288,71,272
289,7,-1,289,22,273
290,-1,11,290,79,273
291,18,4,291,36,275
292,13,17,292,63,276
293,5,17,293,55,277
294,9,7,294,26,278
295,2,9,295,51,278
296,4,-1,296,42,279
297,7,-1,297,44,282
298,0,5,298,66,283
299,15,18,299,37,284
300,11,13,300,75,284
301,-1,0,301,80,284
302,18,4,302,56,285
303,-1,11,303,81,285
304,13,2,304,65,286
305,10,7,305,24,288
306,2,10,306,49,289
307,7,-1,307,23,291
308,11,13,308,78,292
309,-1,11,309,82,293
310,4,-1,310,3,295
311,18,4,311,37,295
312,13,2,312,71,296
313,3,7,313,40,297
314,19,18,314,59,297
315,6,19,315,53,297
316,1,15,316,29,297
317,11,1,317,79,300
318,-1,11,318,83,301
319,4,-1,319,36,303
320,0,6,320,72,303
321,-1,0,321,84,304
322,5,19,322,60,305
323,11,5,323,81,305
324,8,13,324,68,305
325,-1,11,325,85,306
326,-1,8,326,86,306
327,18,4,327,59,307
328,7,-1,328,26,309
329,15,18,329,50,312
330,19,3,330,61,313
331,17,18,331,52,314
332,18,7,332,50,317
333,6,15,333,57,320
334,4,-1,334,56,322
335,5,17,335,67,322
336,13,19,336,75,323
337,17,18,337,63,324
338,11,5,338,82,324
339,19,3,339,53,325
340,15,9,340,58,325
341,-1,11,341,87,325
342,2,10,342,64,326
343,7,-1,343,24,327
344,9,4,344,48,329
345,8,6,345,73,329
346,4,-1,346,37,330
347,-1,8,347,88,330
348,10,4,348,17,331
349,11,13,349,83,332
350,-1,11,350,89,333
351,18,7,351,52,337
352,4,-1,352,59,338
353,17,18,353,55,339
354,2,9,354,65,339
355,18,4,355,63,342
356,15,18,356,29,342
357,6,2,357,70,343
358,4,-1,358,48,346
359,7,-1,359,40,347
360,13,15,360,78,349
361,18,4,361,55,350
362,2,18,362,71,350
363,5,2,363,66,350
364,0,5,364,76,350
365,-1,0,365,90,351
366,3,7,366,43,352
367,6,17,367,72,352
368,11,6,368,85,352
369,-1,11,369,91,353
370,4,-1,370,17,354
371,16,6,371,62,354
372,15,3,372,57,355
373,-1,16,373,92,355
374,1,15,374,46,356
375,0,1,375,80,358
376,-1,0,376,93,359
377,9,4,377,51,361
378,6,2,378,73,361
379,2,9,379,70,362
380,11,6,380,87,362
381,-1,11,381,94,363
382,17,10,382,67,365
383,8,13,383,77,365
384,19,14,384,60,366
385,-1,8,385,95,366
386,4,-1,386,63,369
387,13,17,387,68,375
388,9,4,388,58,376
389,7,-1,389,50,377
390,15,9,390,78,380
391,4,-1,391,55,382
392,18,4,392,29,382
393,0,13,393,84,382
394,10,7,394,49,383
395,-1,0,395,96,383
396,19,18,396,75,385
397,13,19,397,83,386
398,17,10,398,72,388
399,2,18,399,66,388
400,11,13,400,89,390
401,-1,11,401,97,391
402,1,2,402,54,392
403,7,-1,403,52,393
404,4,-1,404,51,395
405,11,1,405,91,396
406,18,4,406,71,397
407,-1,11,407,98,397
408,7,-1,408,43,402
409,18,7,409,75,402
410,10,7,410,64,402
411,4,-1,411,58,403
412,6,15,412,85,403
413,14,4,413,35,406
414,17,18,414,68,407
415,2,10,415,73,407
416,11,6,416,94,407
417,19,14,417,83,408
418,-1,11,418,99,408
419,15,18,419,46,409
420,7,-1,420,49,411
421,13,17,421,77,414
422,3,7,422,61,417
423,6,19,423,62,417
424,1,2,424,79,417
425,11,1,425,97,418
426,-1,11,426,100,419
427,4,-1,427,29,420
428,7,-1,428,75,421
429,0,6,429,90,421
430,18,4,430,66,424
431,13,15,431,84,424
432,5,17,432,81,426
433,2,3,433,54,429
434,7,-1,434,64,430
435,1,2,435,80,430
436,11,13,436,98,430
437,4,-1,437,71,432
438,9,7,438,65,432
439,18,4,439,68,435
440,11,1,440,99,435
441,3,7,441,53,436
442,5,19,442,82,437
443,2,18,443,79,440
444,8,5,444,86,441
445,12,5,445,30,442
446,19,3,446,62,443
447,0,13,447,93,445
448,7,-1,448,61,446
449,13,2,449,89,450
450,2,9,450,80,451
451,11,13,451,100,454
452,10,7,452,67,458
453,17,10,453,77,459
454,6,2,454,87,459
455,4,-1,455,35,460
456,18,4,456,46,464
457,7,-1,457,65,466
458,19,18,458,82,467
459,4,-1,459,66,468
460,1,19,460,91,468
461,13,17,461,98,469
462,12,1,462,38,469
463,18,4,463,79,470
464,16,6,464,69,470
465,9,7,465,70,474
466,2,18,466,89,474
467,7,-1,467,53,476
468,4,-1,468,68,476
469,8,13,469,88,476
470,13,2,470,93,479
471,18,4,471,82,480
472,18,7,472,89,485
473,2,18,473,87,485
474,6,2,474,94,488
475,0,6,475,96,488
476,7,-1,476,67,489
477,13,19,477,100,489
478,12,13,478,45,489
479,16,13,479,74,490
480,19,18,480,91,491
481,18,7,481,87,493
482,17,18,482,81,496
483,2,9,483,93,496
484,6,2,484,90,497
485,4,-1,485,46,498
486,5,17,486,76,498
487,13,19,487,88,499
488,15,18,488,85,500
489,1,15,489,97,501
490,18,4,490,91,502
491,6,2,491,69,506
492,16,6,492,92,510
493,4,-1,493,79,512
494,2,18,494,94,512
495,8,1,495,95,515
496,7,-1,496,70,518
497,9,4,497,78,519
498,4,-1,498,82,520
499,10,4,499,72,522
500,6,2,500,96,522
501,18,7,501,81,523
502,5,15,502,86,526
503,7,-1,503,89,535
504,4,-1,504,91,537
505,2,9,505,90,537
506,18,4,506,85,539
507,19,18,507,100,540
508,3,7,508,57,541
509,4,-1,509,78,545
510,15,3,510,84,545
511,6,19,511,92,545
512,17,10,512,98,546
513,13,17,513,45,546
514,1,2,514,99,546
515,5,15,515,30,547
516,2,18,516,69,548
517,3,4,517,54,551
518,4,-1,518,72,553
519,18,4,519,94,557
520,13,2,520,74,566
521,4,-1,521,85,567
522,1,17,522,38,569
523,2,3,523,96,571
524,15,18,524,97,574
525,4,-1,525,54,575
526,18,4,526,100,576
527,10,4,527,73,576
528,1,2,528,95,582
529,7,-1,529,87,584
530,19,10,530,88,587
531,18,7,531,69,588
532,15,18,532,86,588
533,7,-1,533,81,593
534,18,7,534,97,597
535,4,-1,535,94,599
536,17,18,536,76,599
537,18,4,537,86,603
538,7,-1,538,57,608
539,2,18,539,99,609
540,18,7,540,76,612
541,15,18,541,30,615
542,7,-1,542,69,617
543,4,-1,543,100,618
544,17,18,544,45,618
545,18,4,545,99,621
546,7,-1,546,97,626
547,18,7,547,30,626
548,17,18,548,38,630
549,3,7,549,62,633
550,7,-1,550,76,635
551,3,7,551,84,641
552,19,3,552,92,642
553,4,-1,553,73,643
554,7,-1,554,30,644
555,18,4,555,45,648
556,18,7,556,38,653
557,4,-1,557,86,675
558,2,18,558,74,676
559,7,-1,559,62,680
560,3,4,560,96,681
561,9,7,561,80,683
562,4,-1,562,99,698
563,7,-1,563,84,700
564,18,4,564,74,706
565,3,7,565,92,706
566,2,3,566,95,707
567,4,-1,567,45,712
568,9,4,568,93,719
569,4,-1,569,96,732
570,9,4,570,90,739
571,4,-1,571,74,748
572,7,-1,572,38,752
573,3,4,573,95,754
574,10,7,574,77,757
575,7,-1,575,80,774
576,4,-1,576,93,782
577,7,-1,577,92,783
578,7,-1,578,77,792
579,10,7,579,98,799
580,14,7,580,47,805
581,7,-1,581,98,808
582,4,-1,582,90,811
583,10,4,583,88,814
584,4,-1,584,95,819
585,7,-1,585,47,826
586,4,-1,586,88,827
587,14,4,587,60,870
588,4,-1,588,60,878
589,14,4,589,83,910
590,4,-1,590,83,918
